id_comanda,id_taula,data_comanda,hora_comanda,nom_plat,categoria_plat,preu,quantitat,id_cambrer,valoracio
74,3,2024-10-08,20:35,Rap amb Salsa Verda,segon plat,28.00,1,3,4
75,14,2024-10-11,14:55,Crema Catalana,postres,5.50,3,9,
76,7,2024-10-15,21:30,Vi Negre,beguda,14.00,1,6,5
77,17,2024-10-19,13:10,Sopa de Ceba,primer plat,7.50,2,1,4
78,2,2024-10-22,20:45,Pollastre al Forn,segon plat,15.00,1,7,3
79,10,2024-10-26,15:00,Tiramisú,postres,6.00,2,2,
80,4,2024-10-29,21:20,Refresc de Llimona,beguda,3.00,4,8,5
81,13,2024-11-05,13:55,Amanida Catalana,primer plat,9.00,1,5,4
82,8,2024-11-09,20:05,Entrecot a la Brasa,segon plat,24.00,2,4,5
83,18,2024-11-12,14:15,Mousse de Xocolata,postres,5.00,1,10,
84,15,2024-11-16,21:45,Agua Mineral,beguda,2.50,2,3,4
85,5,2024-11-19,13:25,Sopa de Peix,primer plat,11.00,2,6,5
86,19,2024-11-23,20:20,Lluç a la Romana,segon plat,16.50,1,9,3
87,11,2024-11-26,14:40,Crema Catalana,postres,5.50,1,1,
88,16,2024-11-30,21:00,Cervesa Artesana,beguda,4.50,3,7,4
89,6,2024-12-03,13:05,Croquetes de Pernil,primer plat,8.50,2,2,5
90,1,2024-12-07,20:30,Costelles de Xai,segon plat,22.00,1,5,4
91,12,2024-12-10,15:10,Tiramisú,postres,6.00,1,8,
92,9,2024-12-14,21:35,Vi Blanc,beguda,12.00,2,4,3
93,20,2024-12-17,13:50,Amanida Mixta,primer plat,8.00,3,3,5
94,7,2024-12-19,20:00,Rap amb Salsa Verda,segon plat,28.00,1,6,4
95,3,2024-12-21,14:20,Mousse de Xocolata,postres,5.00,2,10,
96,14,2024-12-23,21:15,Vi Negre,beguda,14.00,1,1,5
97,17,2024-12-25,13:40,Sopa de Ceba,primer plat,7.50,1,7,4
98,2,2024-12-27,20:50,Pollastre al Forn,segon plat,15.00,2,9,3
99,10,2024-12-29,14:00,Crema Catalana,postres,5.50,1,2,
100,4,2024-12-31,21:59,Cava Brut,beguda,9.50,5,5,5
